ptp4l[541259.878]: selected /dev/ptp0 as PTP clock
ptp4l[541259.885]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[541259.887]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[541259.890]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[541259.937]: timeguard: registered, proxy_id=0xcfaf929b9607c444

ptp4l[541259.938]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[541266.899]: selected local clock 000000.fffe.049f06 as best master
ptp4l[541266.900]: TEE: InvokeCommand returned 0x0

ptp4l[541266.902]: TEE: InvokeCommand returned 0x0

ptp4l[541266.902]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[541267.274]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[541271.286]: selected best master clock 641c10.fffe.f12579
ptp4l[541271.287]: TEE: InvokeCommand returned 0x0

ptp4l[541271.289]: TEE: InvokeCommand returned 0x0

ptp4l[541271.289]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[541271.292]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[541346.290]: master offset         -5 s2 freq  -80901 path delay       935
ptp4l[541347.290]: master offset        -21 s2 freq  -80918 path delay       936
ptp4l[541348.291]: master offset         23 s2 freq  -80880 path delay       936
ptp4l[541349.291]: master offset          8 s2 freq  -80888 path delay       936
ptp4l[541350.284]: master offset         -6 s2 freq  -80900 path delay       935
ptp4l[541351.291]: master offset        -22 s2 freq  -80918 path delay       936
ptp4l[541352.291]: master offset          9 s2 freq  -80893 path delay       936
ptp4l[541353.291]: master offset        -11 s2 freq  -80911 path delay       936
ptp4l[541354.291]: master offset         23 s2 freq  -80880 path delay       933
ptp4l[541355.289]: master offset          0 s2 freq  -80896 path delay       933
ptp4l[541356.292]: master offset        -19 s2 freq  -80915 path delay       933
ptp4l[541357.289]: master offset         14 s2 freq  -80888 path delay       932
ptp4l[541358.292]: master offset         -4 s2 freq  -80902 path delay       932
ptp4l[541359.290]: master offset        -25 s2 freq  -80924 path delay       932
ptp4l[541360.290]: master offset          3 s2 freq  -80903 path delay       931
ptp4l[541361.292]: master offset        -12 s2 freq  -80917 path delay       931
ptp4l[541362.290]: master offset         12 s2 freq  -80897 path delay       930
ptp4l[541363.292]: master offset         -6 s2 freq  -80911 path delay       931
