ptp4l[555597.481]: selected /dev/ptp0 as PTP clock
ptp4l[555597.487]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[555597.490]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[555597.493]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[555597.537]: timeguard: registered, proxy_id=0x8a8f24203eb0dd10

ptp4l[555597.539]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[555604.581]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[555604.786]: selected local clock 000000.fffe.049f06 as best master
ptp4l[555604.788]: TEE: InvokeCommand returned 0x0

ptp4l[555604.790]: TEE: InvokeCommand returned 0x0

ptp4l[555604.791]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[555608.595]: selected best master clock 641c10.fffe.f12579
ptp4l[555608.597]: TEE: InvokeCommand returned 0x0

ptp4l[555608.598]: TEE: InvokeCommand returned 0x0

ptp4l[555608.599]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[555608.601]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[555676.592]: master offset    4056660 s2 freq +5463573 path delay   -740451
ptp4l[555677.597]: master offset    2330861 s2 freq +4954772 path delay   -740451
ptp4l[555678.598]: master offset   -1259302 s2 freq +2063868 path delay   -237132
ptp4l[555679.594]: master offset   -3446819 s2 freq -501440 path delay   -237132
ptp4l[555680.591]: master offset     955267 s2 freq +2866600 path delay   -237132
ptp4l[555681.594]: master offset   -2466328 s2 freq -268415 path delay    221181
ptp4l[555682.593]: master offset    1168025 s2 freq +2626040 path delay    221181
ptp4l[555683.596]: master offset    7343873 s2 freq +9152295 path delay   -329730
ptp4l[555684.602]: master offset    -317194 s2 freq +3694390 path delay   -314733
ptp4l[555685.598]: master offset   -2876817 s2 freq +1039609 path delay    331448
ptp4l[555686.593]: master offset   -4573156 s2 freq -1519775 path delay    318712
ptp4l[555687.586]: master offset    -707044 s2 freq +974390 path delay   -124146
ptp4l[555688.589]: master offset     458035 s2 freq +1927356 path delay   -124146
ptp4l[555689.596]: master offset   -1573168 s2 freq  +33564 path delay   -124146
ptp4l[555690.595]: master offset     995384 s2 freq +2130165 path delay   -124146
ptp4l[555691.597]: master offset    1310776 s2 freq +2744172 path delay   -659990
ptp4l[555692.598]: master offset    2014021 s2 freq +3840650 path delay   -217596
ptp4l[555693.598]: master offset   -3421747 s2 freq -990912 path delay    225262
ptp4l[555694.594]: master offset   -2547336 s2 freq -1143025 path delay    225262
ptp4l[555695.594]: master offset     516996 s2 freq +1157107 path delay    225262
ptp4l[555696.597]: master offset    4135204 s2 freq +4930413 path delay   -217596
ptp4l[555697.601]: master offset    -918027 s2 freq +1117744 path delay   -217596
ptp4l[555698.598]: master offset    1980454 s2 freq +3740816 path delay   -455002
ptp4l[555699.597]: master offset   -1869338 s2 freq +485161 path delay   -455002
ptp4l[555700.596]: master offset    2522081 s2 freq +4315778 path delay   -542723
ptp4l[555701.599]: master offset   -2722998 s2 freq -172676 path delay   -542723
ptp4l[555702.596]: master offset   -2214208 s2 freq -480786 path delay   -223450
ptp4l[555703.595]: master offset   -1815199 s2 freq -746039 path delay   -223450
