ptp4l[550478.577]: selected /dev/ptp0 as PTP clock
ptp4l[550478.582]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[550478.585]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[550478.587]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[550478.630]: timeguard: registered, proxy_id=0xc120b44ebd8891ce

ptp4l[550478.631]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[550485.346]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[550485.636]: selected local clock 000000.fffe.049f06 as best master
ptp4l[550485.638]: TEE: InvokeCommand returned 0x0

ptp4l[550485.639]: TEE: InvokeCommand returned 0x0

ptp4l[550485.640]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[550489.365]: selected best master clock 641c10.fffe.f12579
ptp4l[550489.366]: TEE: InvokeCommand returned 0x0

ptp4l[550489.367]: TEE: InvokeCommand returned 0x0

ptp4l[550489.367]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[550489.368]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[550558.361]: master offset    5271724 s2 freq +6329582 path delay   -543500
ptp4l[550559.372]: master offset    7425793 s2 freq +10065169 path delay   -777404
ptp4l[550560.368]: master offset   -3382143 s2 freq +1484970 path delay   -777404
ptp4l[550561.362]: master offset   -4505617 s2 freq -653146 path delay   -543500
ptp4l[550562.352]: master offset   -6888499 s2 freq -4387714 path delay   -483169
ptp4l[550563.354]: master offset    2225913 s2 freq +2660149 path delay   -483169
ptp4l[550564.367]: master offset    9749604 s2 freq +10851614 path delay   -483169
ptp4l[550565.375]: master offset    3223019 s2 freq +7249910 path delay   -483169
ptp4l[550566.371]: master offset   -1376527 s2 freq +3617270 path delay   -483169
ptp4l[550567.353]: master offset  -15126061 s2 freq -10545223 path delay   -483169
ptp4l[550568.342]: master offset   -5255907 s2 freq -5212887 path delay   -543500
ptp4l[550569.347]: master offset    4926321 s2 freq +3392569 path delay  -1772890
ptp4l[550570.362]: master offset    3185410 s2 freq +3129554 path delay  -1772890
ptp4l[550571.372]: master offset    4688733 s2 freq +5588500 path delay  -1772890
ptp4l[550572.367]: master offset   -1944094 s2 freq +362293 path delay   -783522
ptp4l[550573.358]: master offset   -9748652 s2 freq -8025493 path delay   -783522
ptp4l[550574.349]: master offset   -1479599 s2 freq -2681036 path delay   -783522
ptp4l[550575.355]: master offset    4334634 s2 freq +2689318 path delay   -858410
ptp4l[550576.373]: master offset   14019974 s2 freq +13675048 path delay  -1795388
ptp4l[550577.380]: master offset    3277727 s2 freq +7138793 path delay  -1120817
ptp4l[550578.366]: master offset  -11860007 s2 freq -7015623 path delay    523388
ptp4l[550579.351]: master offset   -2479718 s2 freq -1193336 path delay  -1120817
ptp4l[550580.360]: master offset    5708029 s2 freq +6250496 path delay  -1120817
ptp4l[550581.377]: master offset   11125904 s2 freq +13380779 path delay  -1795388
ptp4l[550582.377]: master offset   -2044624 s2 freq +3548023 path delay  -1795388
ptp4l[550583.361]: master offset  -16879609 s2 freq -11900350 path delay   1284318
ptp4l[550584.349]: master offset   -3687467 s2 freq -3772090 path delay   1284318
ptp4l[550585.357]: master offset    5567894 s2 freq +4377031 path delay   1284318
ptp4l[550586.371]: master offset    5503112 s2 freq +5982617 path delay    247311
ptp4l[550587.374]: master offset    2453470 s2 freq +4583908 path delay    247311
ptp4l[550588.367]: master offset   -8141728 s2 freq -5275249 path delay    247311
ptp4l[550589.352]: master offset   -8476789 s2 freq -8052828 path delay   1220488
ptp4l[550590.358]: master offset    3940643 s2 freq +1821567 path delay   1220488
ptp4l[550591.371]: master offset    6354668 s2 freq +5417785 path delay    359795
ptp4l[550592.378]: master offset    8881888 s2 freq +9851406 path delay   -557882
ptp4l[550593.375]: master offset   -3330579 s2 freq +303505 path delay   -294901
ptp4l[550594.364]: master offset   -5580165 s2 freq -2945255 path delay    269839
ptp4l[550595.359]: master offset   -1547363 s2 freq -586502 path delay   -390029
ptp4l[550596.365]: master offset    4729851 s2 freq +5226503 path delay   -390029
ptp4l[550597.376]: master offset    8322427 s2 freq +10238034 path delay  -1022503
ptp4l[550598.376]: master offset   -1903429 s2 freq +2508906 path delay  -1022503
ptp4l[550599.368]: master offset   -3807714 s2 freq  +33593 path delay  -1022503
ptp4l[550600.359]: master offset   -5754392 s2 freq -3055400 path delay   -653010
ptp4l[550601.359]: master offset    -714852 s2 freq +257823 path delay   -653010
ptp4l[550602.365]: master offset   11576907 s2 freq +12335126 path delay  -1760948
