ptp4l[14436.168]: selected /dev/ptp0 as PTP clock
ptp4l[14436.174]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[14436.177]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[14436.180]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[14436.182]: timeguard: registered, proxy_id=0x2e54203f07a9a038

ptp4l[14436.183]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[14442.467]: selected local clock 000000.fffe.049f06 as best master
ptp4l[14442.469]: TEE: InvokeCommand returned 0x0

ptp4l[14442.471]: TEE: InvokeCommand returned 0x0

ptp4l[14442.471]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[14442.809]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[14446.825]: selected best master clock 641c10.fffe.f12579
ptp4l[14446.827]: TEE: InvokeCommand returned 0x0

ptp4l[14446.829]: TEE: InvokeCommand returned 0x0

ptp4l[14446.829]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[14446.831]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[14515.823]: master offset   -2713330 s2 freq  -74126 path delay   -803748
ptp4l[14516.821]: master offset    1256960 s2 freq +3082165 path delay   -803748
ptp4l[14517.821]: master offset   -1924346 s2 freq +277947 path delay   -803748
ptp4l[14518.823]: master offset    2266256 s2 freq +3891245 path delay   -898655
ptp4l[14519.822]: master offset     311379 s2 freq +2616245 path delay   -898655
ptp4l[14520.822]: master offset    -438641 s2 freq +1959639 path delay   -898655
ptp4l[14521.823]: master offset    -720839 s2 freq +1545849 path delay   -686856
ptp4l[14522.823]: master offset    -942452 s2 freq +1107984 path delay   -112104
ptp4l[14523.822]: master offset     -21668 s2 freq +1746032 path delay    285046
ptp4l[14524.823]: master offset     141431 s2 freq +1902631 path delay    285046
ptp4l[14525.824]: master offset       1287 s2 freq +1804916 path delay    422020
ptp4l[14526.825]: master offset   -1892665 s2 freq  -88650 path delay    422020
ptp4l[14527.825]: master offset    2415358 s2 freq +3651574 path delay    105922
ptp4l[14528.823]: master offset   -1934292 s2 freq  +26531 path delay    194880
ptp4l[14529.826]: master offset   -2060683 s2 freq -680147 path delay    194880
ptp4l[14530.824]: master offset    2535141 s2 freq +3297472 path delay    194880
ptp4l[14531.826]: master offset    1106393 s2 freq +2629266 path delay    194880
ptp4l[14532.827]: master offset      92064 s2 freq +1946855 path delay    462615
ptp4l[14533.826]: master offset     -42524 s2 freq +1839886 path delay    557193
ptp4l[14534.825]: master offset     -88804 s2 freq +1780849 path delay    655985
ptp4l[14535.826]: master offset   -1956507 s2 freq -113495 path delay    655985
ptp4l[14536.823]: master offset    2831256 s2 freq +4087316 path delay   -115340
ptp4l[14537.827]: master offset   -1398938 s2 freq +706498 path delay   -115340
ptp4l[14538.827]: master offset    1616335 s2 freq +3302090 path delay     50658
ptp4l[14539.832]: master offset   -2554245 s2 freq -383590 path delay    782926
ptp4l[14540.827]: master offset    -298800 s2 freq +1105582 path delay    782926
ptp4l[14541.828]: master offset    3173923 s2 freq +4488665 path delay    134664
ptp4l[14542.829]: master offset   -1511114 s2 freq +755805 path delay    134664
ptp4l[14543.828]: master offset    1619219 s2 freq +3432804 path delay    134664
ptp4l[14544.829]: master offset     170397 s2 freq +2469747 path delay     50738
ptp4l[14545.828]: master offset   -2418687 s2 freq  -68218 path delay     50738
ptp4l[14546.828]: master offset    2294014 s2 freq +3918877 path delay   -695371
ptp4l[14547.828]: master offset     212292 s2 freq +2525360 path delay   -695371
ptp4l[14548.829]: master offset   -2551717 s2 freq -174962 path delay   -575422
ptp4l[14549.826]: master offset    1554244 s2 freq +3165484 path delay   -818269
ptp4l[14550.827]: master offset   -1705696 s2 freq +371817 path delay   -818269
ptp4l[14551.827]: master offset    1871958 s2 freq +3437762 path delay   -872799
ptp4l[14552.828]: master offset     342515 s2 freq +2469907 path delay   -872799
ptp4l[14553.827]: master offset    -246576 s2 freq +1983570 path delay   -872799
ptp4l[14554.827]: master offset   -2315785 s2 freq -159611 path delay   -872799
ptp4l[14555.828]: master offset    1746135 s2 freq +3207573 path delay   -872799
