ptp4l[16222.120]: selected /dev/ptp0 as PTP clock
ptp4l[16222.127]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16222.131]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16222.133]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[16222.135]: timeguard: registered, proxy_id=0xa78d389efd35320f

ptp4l[16222.136]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[16228.402]: selected local clock 000000.fffe.049f06 as best master
ptp4l[16228.403]: TEE: InvokeCommand returned 0x0

ptp4l[16228.405]: TEE: InvokeCommand returned 0x0

ptp4l[16228.406]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[16229.432]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[16233.447]: selected best master clock 641c10.fffe.f12579
ptp4l[16233.449]: TEE: InvokeCommand returned 0x0

ptp4l[16233.451]: TEE: InvokeCommand returned 0x0

ptp4l[16233.452]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[16233.454]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[16302.439]: master offset    1609798 s2 freq +3416910 path delay   -478097
ptp4l[16303.443]: master offset   -1936553 s2 freq +353499 path delay   -474904
ptp4l[16304.444]: master offset    1853352 s2 freq +3562438 path delay   -723976
ptp4l[16305.447]: master offset   -1774328 s2 freq +490763 path delay   -723976
ptp4l[16306.443]: master offset   -3062025 s2 freq -1329232 path delay   -723976
ptp4l[16307.442]: master offset     172699 s2 freq +986885 path delay   -723976
ptp4l[16308.449]: master offset    1117939 s2 freq +1983934 path delay   -723976
ptp4l[16309.446]: master offset     815657 s2 freq +2017034 path delay   -474904
ptp4l[16310.447]: master offset    2425779 s2 freq +3871853 path delay   -214699
ptp4l[16311.447]: master offset     210464 s2 freq +2384272 path delay     27496
ptp4l[16312.445]: master offset   -2286413 s2 freq  -49466 path delay     27496
ptp4l[16313.445]: master offset    -321694 s2 freq +1229329 path delay     12448
ptp4l[16314.446]: master offset     369834 s2 freq +1824349 path delay     12448
ptp4l[16315.448]: master offset     671939 s2 freq +2237404 path delay   -204353
ptp4l[16316.448]: master offset     392749 s2 freq +2159796 path delay   -275399
ptp4l[16317.448]: master offset    2330917 s2 freq +4215788 path delay   -488146
ptp4l[16318.449]: master offset     -44562 s2 freq +2539585 path delay   -488146
ptp4l[16319.447]: master offset    -690478 s2 freq +1880300 path delay   -488146
ptp4l[16320.440]: master offset   -2671059 s2 freq -307424 path delay   -488146
ptp4l[16321.444]: master offset    1815724 s2 freq +3378041 path delay   -656974
ptp4l[16322.446]: master offset      90675 s2 freq +2197709 path delay   -363055
ptp4l[16323.446]: master offset   -2231411 s2 freq  -97174 path delay   -363055
ptp4l[16324.446]: master offset    -233402 s2 freq +1231411 path delay   -363055
ptp4l[16325.448]: master offset     458269 s2 freq +1853062 path delay   -363055
ptp4l[16326.449]: master offset    1570105 s2 freq +3102378 path delay   -566262
ptp4l[16327.445]: master offset    2205453 s2 freq +4208758 path delay   -397465
ptp4l[16328.449]: master offset   -2182378 s2 freq +482563 path delay   -397465
ptp4l[16329.447]: master offset    -307155 s2 freq +1703072 path delay   -866961
ptp4l[16330.443]: master offset    1923413 s2 freq +3841494 path delay   -866961
ptp4l[16331.447]: master offset    -458670 s2 freq +2036435 path delay   -464611
ptp4l[16332.446]: master offset   -2603331 s2 freq -245827 path delay   -464611
ptp4l[16333.446]: master offset    -456176 s2 freq +1120328 path delay   -464611
ptp4l[16334.447]: master offset     292487 s2 freq +1732139 path delay   -409507
ptp4l[16335.449]: master offset    2634592 s2 freq +4161990 path delay   -199078
ptp4l[16336.450]: master offset   -1595848 s2 freq +721927 path delay   -199078
ptp4l[16337.449]: master offset    1573609 s2 freq +3412630 path delay   -199078
ptp4l[16338.450]: master offset   -1959426 s2 freq +351678 path delay   -199078
ptp4l[16339.448]: master offset    -416367 s2 freq +1306909 path delay   -199078
ptp4l[16340.451]: master offset     193558 s2 freq +1791924 path delay   -199078
ptp4l[16341.450]: master offset    3395767 s2 freq +5052200 path delay   -592322
ptp4l[16342.451]: master offset     131731 s2 freq +2806894 path delay   -592322
ptp4l[16343.450]: master offset   -2808225 s2 freq  -93542 path delay   -592322
ptp4l[16344.447]: master offset    -706243 s2 freq +1165972 path delay   -704431
ptp4l[16345.448]: master offset    2212462 s2 freq +3872804 path delay   -651586
ptp4l[16346.446]: master offset   -1755981 s2 freq +568100 path delay   -651586
ptp4l[16347.450]: master offset    -346659 s2 freq +1450627 path delay   -720138
ptp4l[16348.450]: master offset     125593 s2 freq +1818882 path delay   -720138
ptp4l[16349.450]: master offset    2209238 s2 freq +3940205 path delay   -720138
ptp4l[16350.452]: master offset   -1888705 s2 freq +505033 path delay   -720138
ptp4l[16351.449]: master offset   -3109131 s2 freq -1282004 path delay   -428262
ptp4l[16352.448]: master offset      84624 s2 freq +979011 path delay   -428262
ptp4l[16353.451]: master offset    3237242 s2 freq +4157016 path delay   -629150
ptp4l[16354.453]: master offset     813122 s2 freq +2704069 path delay   -428262
ptp4l[16355.453]: master offset   -1996750 s2 freq +138134 path delay   -428262
ptp4l[16356.451]: master offset    1547529 s2 freq +3083388 path delay   -464194
ptp4l[16357.452]: master offset     364331 s2 freq +2364448 path delay   -464194
ptp4l[16358.451]: master offset   -2126389 s2 freq  -16972 path delay   -464194
ptp4l[16359.451]: master offset    1790112 s2 freq +3261612 path delay   -464194
ptp4l[16360.454]: master offset   -1554662 s2 freq +453872 path delay   -464194
ptp4l[16361.451]: master offset   -2887726 s2 freq -1345591 path delay    -18317
ptp4l[16362.450]: master offset    3083034 s2 freq +3758851 path delay   -725726
ptp4l[16363.452]: master offset    -747912 s2 freq +852815 path delay   -725726
ptp4l[16364.452]: master offset    2292475 s2 freq +3668829 path delay   -725726
ptp4l[16365.452]: master offset     541969 s2 freq +2606065 path delay   -712408
ptp4l[16366.452]: master offset   -2206641 s2 freq  +20046 path delay   -712408
ptp4l[16367.452]: master offset    1762495 s2 freq +3327190 path delay   -803515
ptp4l[16368.454]: master offset   -1669512 s2 freq +423931 path delay   -803515
ptp4l[16369.453]: master offset    1885930 s2 freq +3478520 path delay   -888795
ptp4l[16370.456]: master offset   -1812615 s2 freq +345754 path delay   -817975
ptp4l[16371.453]: master offset   -3528613 s2 freq -1914029 path delay   -817975
ptp4l[16372.446]: master offset     364985 s2 freq +920985 path delay   -888795
ptp4l[16373.453]: master offset    3263579 s2 freq +3929075 path delay   -785164
ptp4l[16374.455]: master offset    -825929 s2 freq +818640 path delay   -785164
ptp4l[16375.455]: master offset     237970 s2 freq +1634761 path delay   -778906
ptp4l[16376.454]: master offset    2518795 s2 freq +3986977 path delay   -778906
ptp4l[16377.455]: master offset     234528 s2 freq +2458348 path delay   -590354
ptp4l[16378.454]: master offset   -2358896 s2 freq  -64717 path delay   -590354
ptp4l[16379.453]: master offset    1603707 s2 freq +3190217 path delay   -590354
ptp4l[16380.457]: master offset   -1657642 s2 freq +409980 path delay   -590354
ptp4l[16381.453]: master offset   -2776652 s2 freq -1206323 path delay   -590354
ptp4l[16382.452]: master offset     343836 s2 freq +1081170 path delay   -590354
ptp4l[16383.455]: master offset    1193106 s2 freq +2033590 path delay   -590354
ptp4l[16384.456]: master offset    2915035 s2 freq +4113451 path delay   -434750
ptp4l[16385.459]: master offset   -1317945 s2 freq +754982 path delay   -434750
ptp4l[16386.455]: master offset   -3851520 s2 freq -2173977 path delay   -167443
ptp4l[16387.454]: master offset    2463111 s2 freq +2985198 path delay   -393830
ptp4l[16388.457]: master offset    -625476 s2 freq +635545 path delay   -393830
ptp4l[16389.457]: master offset    1010055 s2 freq +2083433 path delay   -766979
ptp4l[16390.458]: master offset     822144 s2 freq +2198538 path delay   -766979
ptp4l[16391.457]: master offset    2477437 s2 freq +4100474 path delay   -734362
ptp4l[16392.455]: master offset    -102394 s2 freq +2263875 path delay   -387493
