ptp4l[456325.825]: selected /dev/ptp0 as PTP clock
ptp4l[456325.828]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[456325.828]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[456325.829]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[456332.858]: selected local clock 000000.fffe.049f06 as best master
ptp4l[456333.529]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[456337.529]: selected best master clock 641c10.fffe.f12579
ptp4l[456337.529]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[456420.537]: master offset         20 s2 freq  -80521 path delay       940
ptp4l[456421.537]: master offset          0 s2 freq  -80535 path delay       941
ptp4l[456422.537]: master offset        -27 s2 freq  -80562 path delay       942
ptp4l[456423.538]: master offset         -1 s2 freq  -80544 path delay       942
ptp4l[456424.538]: master offset         23 s2 freq  -80521 path delay       942
ptp4l[456425.538]: master offset        -14 s2 freq  -80551 path delay       943
ptp4l[456426.538]: master offset          9 s2 freq  -80532 path delay       942
ptp4l[456427.538]: master offset        -22 s2 freq  -80560 path delay       942
ptp4l[456428.538]: master offset          1 s2 freq  -80544 path delay       938
ptp4l[456429.538]: master offset         16 s2 freq  -80529 path delay       938
ptp4l[456430.538]: master offset        -26 s2 freq  -80566 path delay       941
ptp4l[456431.539]: master offset         -6 s2 freq  -80554 path delay       937
ptp4l[456432.538]: master offset         12 s2 freq  -80537 path delay       933
ptp4l[456433.539]: master offset        -28 s2 freq  -80574 path delay       933
ptp4l[456434.539]: master offset        -10 s2 freq  -80564 path delay       934
ptp4l[456435.539]: master offset          5 s2 freq  -80552 path delay       933
ptp4l[456436.539]: master offset         17 s2 freq  -80539 path delay       933
ptp4l[456437.539]: master offset        -20 s2 freq  -80571 path delay       933
ptp4l[456438.539]: master offset         -8 s2 freq  -80565 path delay       933
ptp4l[456439.539]: master offset          0 s2 freq  -80559 path delay       933
ptp4l[456440.539]: master offset         14 s2 freq  -80545 path delay       933
ptp4l[456441.539]: master offset         29 s2 freq  -80526 path delay       933
ptp4l[456442.540]: master offset         -8 s2 freq  -80554 path delay       933
ptp4l[456443.540]: master offset          2 s2 freq  -80546 path delay       933
ptp4l[456444.540]: master offset         16 s2 freq  -80532 path delay       933
ptp4l[456445.540]: master offset        -24 s2 freq  -80567 path delay       933
ptp4l[456446.540]: master offset         -6 s2 freq  -80556 path delay       933
ptp4l[456447.540]: master offset          8 s2 freq  -80544 path delay       933
ptp4l[456448.540]: master offset         14 s2 freq  -80536 path delay       934
ptp4l[456449.540]: master offset        -25 s2 freq  -80570 path delay       934
ptp4l[456450.540]: master offset        -16 s2 freq  -80569 path delay       934
ptp4l[456451.541]: master offset         -9 s2 freq  -80567 path delay       934
ptp4l[456452.540]: master offset          1 s2 freq  -80559 path delay       934
ptp4l[456453.541]: master offset         12 s2 freq  -80548 path delay       934
ptp4l[456454.541]: master offset         19 s2 freq  -80538 path delay       934
ptp4l[456455.541]: master offset        -30 s2 freq  -80581 path delay       934
ptp4l[456456.541]: master offset        -20 s2 freq  -80580 path delay       934
ptp4l[456457.541]: master offset        -13 s2 freq  -80579 path delay       934
ptp4l[456458.541]: master offset         -6 s2 freq  -80576 path delay       934
ptp4l[456459.541]: master offset          4 s2 freq  -80568 path delay       934
ptp4l[456460.541]: master offset          4 s2 freq  -80566 path delay       934
ptp4l[456461.542]: master offset         12 s2 freq  -80557 path delay       934
ptp4l[456462.542]: master offset         16 s2 freq  -80550 path delay       934
ptp4l[456463.542]: master offset         14 s2 freq  -80547 path delay       934
ptp4l[456464.542]: master offset         17 s2 freq  -80540 path delay       934
ptp4l[456465.542]: master offset        -30 s2 freq  -80581 path delay       934
ptp4l[456466.542]: master offset        -36 s2 freq  -80596 path delay       936
ptp4l[456467.542]: master offset         20 s2 freq  -80551 path delay       935
ptp4l[456468.542]: master offset         16 s2 freq  -80549 path delay       934
ptp4l[456469.542]: master offset         17 s2 freq  -80543 path delay       934
ptp4l[456470.542]: master offset         17 s2 freq  -80538 path delay       934
ptp4l[456471.543]: master offset        -33 s2 freq  -80583 path delay       936
ptp4l[456472.543]: master offset        -37 s2 freq  -80597 path delay       936
ptp4l[456473.543]: master offset         24 s2 freq  -80547 path delay       936
ptp4l[456474.543]: master offset         22 s2 freq  -80542 path delay       936
ptp4l[456475.543]: master offset         17 s2 freq  -80540 path delay       936
ptp4l[456476.543]: master offset        -34 s2 freq  -80586 path delay       935
ptp4l[456477.543]: master offset        -34 s2 freq  -80597 path delay       937
ptp4l[456478.543]: master offset          9 s2 freq  -80564 path delay       937
ptp4l[456479.543]: master offset          8 s2 freq  -80562 path delay       937
ptp4l[456480.543]: master offset          4 s2 freq  -80564 path delay       937
ptp4l[456481.544]: master offset          0 s2 freq  -80566 path delay       937
ptp4l[456482.544]: master offset         -1 s2 freq  -80567 path delay       935
ptp4l[456483.544]: master offset         -1 s2 freq  -80568 path delay       935
ptp4l[456484.544]: master offset         -8 s2 freq  -80575 path delay       935
ptp4l[456485.544]: master offset        -13 s2 freq  -80582 path delay       935
ptp4l[456486.544]: master offset        -26 s2 freq  -80599 path delay       936
ptp4l[456487.544]: master offset         18 s2 freq  -80563 path delay       935
ptp4l[456488.544]: master offset         15 s2 freq  -80561 path delay       934
ptp4l[456489.544]: master offset         17 s2 freq  -80554 path delay       934
ptp4l[456490.544]: master offset          1 s2 freq  -80565 path delay       935
ptp4l[456491.545]: master offset         -6 s2 freq  -80572 path delay       937
ptp4l[456492.545]: master offset        -15 s2 freq  -80583 path delay       937
ptp4l[456493.545]: master offset        -25 s2 freq  -80597 path delay       937
ptp4l[456494.545]: master offset         23 s2 freq  -80557 path delay       937
ptp4l[456495.545]: master offset         17 s2 freq  -80556 path delay       937
ptp4l[456496.545]: master offset         -1 s2 freq  -80569 path delay       939
ptp4l[456497.545]: master offset        -11 s2 freq  -80579 path delay       939
ptp4l[456498.545]: master offset        -24 s2 freq  -80595 path delay       939
ptp4l[456499.545]: master offset         10 s2 freq  -80568 path delay       939
ptp4l[456500.545]: master offset          3 s2 freq  -80572 path delay       937
ptp4l[456501.546]: master offset        -11 s2 freq  -80586 path delay       937
ptp4l[456502.546]: master offset        -30 s2 freq  -80608 path delay       936
ptp4l[456503.546]: master offset         12 s2 freq  -80575 path delay       936
ptp4l[456504.546]: master offset         -7 s2 freq  -80590 path delay       936
ptp4l[456505.546]: master offset        -19 s2 freq  -80604 path delay       938
ptp4l[456506.546]: master offset         18 s2 freq  -80573 path delay       938
ptp4l[456507.546]: master offset          4 s2 freq  -80582 path delay       939
ptp4l[456508.546]: master offset         -8 s2 freq  -80592 path delay       939
ptp4l[456509.546]: master offset        -27 s2 freq  -80614 path delay       939
ptp4l[456510.546]: master offset         10 s2 freq  -80585 path delay       939
ptp4l[456511.547]: master offset         -8 s2 freq  -80600 path delay       939
ptp4l[456512.546]: master offset         24 s2 freq  -80570 path delay       939
ptp4l[456513.547]: master offset          4 s2 freq  -80583 path delay       940
ptp4l[456514.547]: master offset        -13 s2 freq  -80599 path delay       941
ptp4l[456515.547]: master offset         14 s2 freq  -80576 path delay       941
ptp4l[456516.547]: master offset         -5 s2 freq  -80591 path delay       940
ptp4l[456517.547]: master offset        -23 s2 freq  -80610 path delay       940
ptp4l[456518.547]: master offset         11 s2 freq  -80583 path delay       938
ptp4l[456519.547]: master offset        -11 s2 freq  -80602 path delay       939
ptp4l[456520.548]: master offset         22 s2 freq  -80572 path delay       938
ptp4l[456521.547]: master offset          0 s2 freq  -80587 path delay       938
ptp4l[456522.548]: master offset        -15 s2 freq  -80602 path delay       937
ptp4l[456523.548]: master offset          9 s2 freq  -80583 path delay       937
ptp4l[456524.548]: master offset        -12 s2 freq  -80601 path delay       938
ptp4l[456525.548]: master offset         16 s2 freq  -80577 path delay       937
ptp4l[456526.548]: master offset        -12 s2 freq  -80600 path delay       937
ptp4l[456527.548]: master offset         17 s2 freq  -80575 path delay       937
ptp4l[456528.548]: master offset         -7 s2 freq  -80594 path delay       937
ptp4l[456529.549]: master offset        -32 s2 freq  -80621 path delay       937
ptp4l[456530.548]: master offset         -8 s2 freq  -80606 path delay       937
ptp4l[456531.549]: master offset         19 s2 freq  -80582 path delay       937
ptp4l[456532.549]: master offset        -12 s2 freq  -80607 path delay       937
