ptp4l[617609.972]: selected /dev/ptp0 as PTP clock
ptp4l[617609.984]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[617609.987]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[617609.991]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[617610.036]: timeguard: registered, proxy_id=0xb7773cd9fca89d04

ptp4l[617610.038]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[617616.677]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[617616.741]: selected local clock 000000.fffe.049f06 as best master
ptp4l[617616.742]: TEE: InvokeCommand returned 0x0

ptp4l[617616.744]: TEE: InvokeCommand returned 0x0

ptp4l[617616.744]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[617620.519]: selected best master clock 641c10.fffe.f12579
ptp4l[617620.519]: TEE: InvokeCommand returned 0x0

ptp4l[617620.520]: TEE: InvokeCommand returned 0x0

ptp4l[617620.521]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[617620.521]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[617686.996]: master offset   12304302 s2 freq -1585174 path delay  -5467278
ptp4l[617688.001]: master offset  -39732881 s2 freq -32767999 path delay  -5467278
ptp4l[617688.948]: master offset  -81296381 s2 freq -32767999 path delay  -5467278
ptp4l[617689.879]: master offset -116436218 s2 freq -32767999 path delay  -3516096
ptp4l[617690.843]: master offset  -75492717 s2 freq -32767999 path delay  -3516096
ptp4l[617691.879]: master offset  -60341295 s2 freq -32767999 path delay  -5467278
ptp4l[617692.909]: master offset  -40241119 s2 freq -32767999 path delay  -3516096
ptp4l[617693.942]: master offset   -1112001 s2 freq -11310186 path delay  -1685567
ptp4l[617694.995]: master offset  -14944281 s2 freq -25476066 path delay  -1685567
ptp4l[617695.987]: master offset  -66461466 s2 freq -32767999 path delay  -1306038
ptp4l[617696.922]: master offset  -14904527 s2 freq -29919597 path delay  -4177905
ptp4l[617697.951]: master offset  -13967884 s2 freq -32767999 path delay  -6446488
ptp4l[617698.965]: master offset   26961275 s2 freq +7474847 path delay  -6446488
ptp4l[617700.014]: master offset   -2929100 s2 freq -14327145 path delay  -5603527
ptp4l[617700.989]: master offset   -1810561 s2 freq -14087336 path delay  -5603527
