ptp4l[618238.799]: selected /dev/ptp0 as PTP clock
ptp4l[618238.805]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618238.808]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618238.810]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[618238.853]: timeguard: registered, proxy_id=0x96f5611ace1d5f34

ptp4l[618238.855]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[618244.717]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[618246.134]: selected local clock 000000.fffe.049f06 as best master
ptp4l[618246.136]: TEE: InvokeCommand returned 0x0

ptp4l[618246.138]: TEE: InvokeCommand returned 0x0

ptp4l[618246.139]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[618248.563]: selected best master clock 641c10.fffe.f12579
ptp4l[618248.564]: TEE: InvokeCommand returned 0x0

ptp4l[618248.566]: TEE: InvokeCommand returned 0x0

ptp4l[618248.567]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[618248.569]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[618315.926]: master offset  -59287689 s2 freq -32767999 path delay  -4757645
ptp4l[618316.924]: master offset  -29816633 s2 freq -32767999 path delay  -4757645
ptp4l[618317.949]: master offset  -25506508 s2 freq -32767999 path delay  -4757645
ptp4l[618318.972]: master offset   22221147 s2 freq +13132501 path delay  -4757645
ptp4l[618320.005]: master offset   -3081853 s2 freq -5504155 path delay  -2814868
ptp4l[618321.003]: master offset   -7964654 s2 freq -11311511 path delay  -2814868
ptp4l[618321.979]: master offset  -51750981 s2 freq -32767999 path delay  -2814868
ptp4l[618322.943]: master offset  -16853723 s2 freq -22589977 path delay  -1745811
ptp4l[618323.957]: master offset    7012959 s2 freq -3779412 path delay  -1859349
ptp4l[618324.993]: master offset   20295013 s2 freq +11606530 path delay  -1859349
ptp4l[618326.012]: master offset    -429384 s2 freq -3029363 path delay  -1859349
ptp4l[618327.003]: master offset   -7905361 s2 freq -10634155 path delay  -1859349
ptp4l[618327.976]: master offset  -50708930 s2 freq -32767999 path delay   -321200
ptp4l[618328.939]: master offset  -45771615 s2 freq -32767999 path delay   -321200
ptp4l[618329.935]: master offset  -24033782 s2 freq -29134184 path delay   -321200
ptp4l[618330.958]: master offset   16383105 s2 freq +4072568 path delay   -321200
ptp4l[618331.997]: master offset   -8271207 s2 freq -15666812 path delay   -321200
ptp4l[618332.991]: master offset   -3315567 s2 freq -13192535 path delay   -534661
ptp4l[618333.988]: master offset  -30551122 s2 freq -32767999 path delay  -2415188
ptp4l[618334.965]: master offset  -29770427 s2 freq -32767999 path delay  -3982876
ptp4l[618335.950]: master offset  -70217154 s2 freq -32767999 path delay  -2415188
ptp4l[618336.914]: master offset  -39497083 s2 freq -32767999 path delay  -2415188
ptp4l[618337.931]: master offset   -6184700 s2 freq -17056338 path delay  -6880214
ptp4l[618338.977]: master offset   20975686 s2 freq +8248638 path delay  -6880214
ptp4l[618340.007]: master offset   -3065970 s2 freq -9500312 path delay  -3982876
ptp4l[618341.001]: master offset   -8059236 s2 freq -15413369 path delay  -2415188
ptp4l[618341.984]: master offset  -49186063 s2 freq -32767999 path delay  -2415188
ptp4l[618342.942]: master offset   -3887927 s2 freq -13659831 path delay  -2415188
ptp4l[618343.963]: master offset    7910470 s2 freq -3027812 path delay   -691551
ptp4l[618344.989]: master offset  -28195808 s2 freq -32767999 path delay    459053
ptp4l[618345.973]: master offset  -37614689 s2 freq -32767999 path delay   -853439
ptp4l[618346.955]: master offset  -45797478 s2 freq -32767999 path delay  -3388479
ptp4l[618347.943]: master offset  -15019088 s2 freq -23584229 path delay  -3388479
ptp4l[618348.960]: master offset  -19018926 s2 freq -32089793 path delay  -3388479
ptp4l[618349.978]: master offset   29360255 s2 freq +10583710 path delay  -3388479
ptp4l[618351.011]: master offset     560669 s2 freq -9407800 path delay  -3227524
ptp4l[618352.007]: master offset    -407930 s2 freq -10208198 path delay  -3227524
ptp4l[618352.995]: master offset    9571077 s2 freq -351570 path delay  -3227524
ptp4l[618353.998]: master offset    1506224 s2 freq -5545100 path delay  -1482313
ptp4l[618354.991]: master offset  -47077881 s2 freq -32767999 path delay  -1482313
ptp4l[618355.950]: master offset  -11230301 s2 freq -17829758 path delay  -1482313
ptp4l[618356.959]: master offset  -29435992 s2 freq -32767999 path delay  -4408260
ptp4l[618357.953]: master offset  -56760828 s2 freq -32767999 path delay  -3491701
ptp4l[618358.931]: master offset  -26022919 s2 freq -32767999 path delay  -3491701
ptp4l[618359.947]: master offset  -40152098 s2 freq -32767999 path delay  -3491701
ptp4l[618360.948]: master offset  -28108259 s2 freq -32767999 path delay  -3469930
ptp4l[618361.963]: master offset   12827210 s2 freq +2858663 path delay  -3469930
ptp4l[618362.997]: master offset   16592986 s2 freq +10472602 path delay  -3994665
ptp4l[618364.011]: master offset  -35035164 s2 freq -32767999 path delay  -3994665
ptp4l[618364.984]: master offset    5919339 s2 freq +4776851 path delay  -3994665
ptp4l[618365.985]: master offset   15783969 s2 freq +16417283 path delay  -3994665
ptp4l[618366.997]: master offset   -2268465 s2 freq +3100039 path delay  -3994665
ptp4l[618367.988]: master offset  -34215199 s2 freq -29527234 path delay  -2296380
ptp4l[618368.962]: master offset   -7083269 s2 freq -12659864 path delay  -2296380
ptp4l[618369.969]: master offset  -36121838 s2 freq -32767999 path delay  -1186576
ptp4l[618370.959]: master offset    3274949 s2 freq -4426626 path delay  -1186576
ptp4l[618371.985]: master offset   -4204415 s2 freq -10923506 path delay    -63670
ptp4l[618372.996]: master offset   -4947114 s2 freq -12927529 path delay    -63670
ptp4l[618373.993]: master offset  -47477023 s2 freq -32767999 path delay    -63670
ptp4l[618374.951]: master offset  -38303429 s2 freq -32767999 path delay   -646746
ptp4l[618375.952]: master offset  -15713983 s2 freq -25178532 path delay  -3541045
ptp4l[618376.974]: master offset   24728749 s2 freq +10550005 path delay  -3541045
ptp4l[618378.009]: master offset    1697844 s2 freq -5062276 path delay  -4357126
ptp4l[618379.005]: master offset   -3630423 s2 freq -9881189 path delay  -4357126
ptp4l[618379.986]: master offset  -47051637 s2 freq -32767999 path delay  -4357126
ptp4l[618380.941]: master offset  -86325458 s2 freq -32767999 path delay  -1663236
ptp4l[618381.891]: master offset -134038790 s2 freq -32767999 path delay    275750
ptp4l[618382.833]: master offset -103385336 s2 freq -32767999 path delay    275750
ptp4l[618383.855]: master offset  -86217463 s2 freq -32767999 path delay  -1663236
ptp4l[618384.887]: master offset  -72953049 s2 freq -32767999 path delay  -1663236
ptp4l[618385.923]: master offset  -21981777 s2 freq -29321670 path delay  -1663236
ptp4l[618386.972]: master offset  -31501612 s2 freq -32767999 path delay  -1663236
ptp4l[618387.991]: master offset    -573528 s2 freq -14507954 path delay  -1663236
ptp4l[618388.997]: master offset  -39217027 s2 freq -32767999 path delay   -428872
ptp4l[618389.981]: master offset    8045188 s2 freq -6061297 path delay   -428872
ptp4l[618390.995]: master offset  -13375317 s2 freq -25068246 path delay  -1274946
ptp4l[618391.996]: master offset  -54702531 s2 freq -32767999 path delay  -1274946
ptp4l[618392.941]: master offset -106028115 s2 freq -32767999 path delay  -1274946
ptp4l[618393.878]: master offset  -75068596 s2 freq -32767999 path delay  -1274946
ptp4l[618394.888]: master offset  -43643321 s2 freq -32767999 path delay  -5648405
ptp4l[618395.924]: master offset  -34215603 s2 freq -32767999 path delay  -5648405
ptp4l[618396.953]: master offset  -70826036 s2 freq -32767999 path delay  -4029220
ptp4l[618397.942]: master offset  -84933379 s2 freq -32767999 path delay  -4029220
ptp4l[618398.910]: master offset  -80190186 s2 freq -32767999 path delay  -2123150
ptp4l[618399.908]: master offset  -79393105 s2 freq -32767999 path delay  -6571234
ptp4l[618400.905]: master offset  -50958112 s2 freq -32767999 path delay  -7965243
ptp4l[618401.927]: master offset  -26928417 s2 freq -32767999 path delay  -9273058
ptp4l[618402.968]: master offset   30762122 s2 freq +15056598 path delay  -7965243
ptp4l[618404.017]: master offset   -1271158 s2 freq -7748045 path delay  -7965243
ptp4l[618405.015]: master offset   -8638796 s2 freq -15497030 path delay  -7082468
ptp4l[618406.002]: master offset    6469714 s2 freq -2980159 path delay  -7082468
ptp4l[618406.993]: master offset  -48743226 s2 freq -32767999 path delay  -3904667
ptp4l[618407.961]: master offset   -7780342 s2 freq -15289301 path delay  -3904667
ptp4l[618408.970]: master offset    6982984 s2 freq -2860078 path delay  -3904667
ptp4l[618409.996]: master offset  -33279608 s2 freq -32767999 path delay  -1453196
ptp4l[618410.975]: master offset    5563185 s2 freq -2184981 path delay  -1453196
ptp4l[618411.994]: master offset    7342661 s2 freq +1263450 path delay  -1453196
ptp4l[618413.001]: master offset  -24970363 s2 freq -28846776 path delay  -1453196
ptp4l[618413.976]: master offset  -78803846 s2 freq -32767999 path delay    914369
ptp4l[618414.927]: master offset  -67952934 s2 freq -32767999 path delay  -3728300
ptp4l[618415.917]: master offset  -26981418 s2 freq -32767999 path delay  -3728300
ptp4l[618416.947]: master offset   -1879332 s2 freq -13246854 path delay  -7232458
ptp4l[618417.980]: master offset  -24326605 s2 freq -32767999 path delay  -7232458
ptp4l[618418.977]: master offset  -32019925 s2 freq -32767999 path delay  -8989841
ptp4l[618419.981]: master offset    9056133 s2 freq -2875188 path delay  -8989841
ptp4l[618420.995]: master offset   -5017742 s2 freq -14232223 path delay  -8989841
ptp4l[618421.997]: master offset  -22379876 s2 freq -32767999 path delay  -6881652
ptp4l[618422.972]: master offset  -76458800 s2 freq -32767999 path delay  -6881652
ptp4l[618423.927]: master offset  -35480844 s2 freq -32767999 path delay  -6881652
ptp4l[618424.937]: master offset   -7857793 s2 freq -18577597 path delay  -8588733
ptp4l[618425.971]: master offset   12432366 s2 freq -644776 path delay  -8588733
ptp4l[618427.005]: master offset   -9650866 s2 freq -18998298 path delay  -6881652
ptp4l[618428.004]: master offset  -53525809 s2 freq -32767999 path delay  -4545648
ptp4l[618428.951]: master offset   -6696457 s2 freq -18939149 path delay  -6881652
ptp4l[618429.969]: master offset   14133158 s2 freq -118471 path delay  -6881652
ptp4l[618430.997]: master offset  -30826783 s2 freq -32767999 path delay  -2691497
ptp4l[618431.983]: master offset  -73049075 s2 freq -32767999 path delay  -1892694
ptp4l[618432.927]: master offset  -32448644 s2 freq -32767999 path delay  -1892694
ptp4l[618433.942]: master offset   -1247040 s2 freq -11258721 path delay  -5518916
ptp4l[618434.985]: master offset   21738499 s2 freq +11352706 path delay  -5518916
ptp4l[618436.017]: master offset  -22989470 s2 freq -26853714 path delay   -896284
ptp4l[618437.003]: master offset    4349804 s2 freq -6411281 path delay  -5210860
ptp4l[618438.012]: master offset    7152352 s2 freq -2303792 path delay  -1518868
ptp4l[618439.008]: master offset   -5177090 s2 freq -12487528 path delay    182071
ptp4l[618439.999]: master offset  -46387551 s2 freq -32767999 path delay    182071
ptp4l[618440.950]: master offset -109204315 s2 freq -32767999 path delay   1782829
