ptp4l[620027.093]: selected /dev/ptp0 as PTP clock
ptp4l[620027.100]: port 1 (eth0): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[620027.103]: port 0 (/var/run/ptp4l): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[620027.107]: port 0 (/var/run/ptp4lro): INITIALIZING to LISTENING on INIT_COMPLETE
ptp4l[620027.153]: timeguard: registered, proxy_id=0xb602f62673d68916

ptp4l[620027.155]: TG_CMD_SET_TIME InvokeCommand result: 0x0

ptp4l[620034.109]: port 1 (eth0): new foreign master 641c10.fffe.f12579-1
ptp4l[620034.212]: selected local clock 000000.fffe.049f06 as best master
ptp4l[620034.213]: TEE: InvokeCommand returned 0x0

ptp4l[620034.215]: TEE: InvokeCommand returned 0x0

ptp4l[620034.215]: TEE: DECIDE OK -> decided_state=4 (ps_out=4)

ptp4l[620037.954]: selected best master clock 641c10.fffe.f12579
ptp4l[620037.954]: TEE: InvokeCommand returned 0x0

ptp4l[620037.955]: TEE: InvokeCommand returned 0x0

ptp4l[620037.955]: TEE: DECIDE OK -> decided_state=9 (ps_out=9)

ptp4l[620037.956]: port 1 (eth0): LISTENING to UNCALIBRATED on RS_SLAVE
ptp4l[620106.416]: master offset     196701 s2 freq -3747012 path delay     -1779
ptp4l[620107.419]: master offset    3743822 s2 freq -140881 path delay     -1779
ptp4l[620108.424]: master offset   -2182670 s2 freq -4944226 path delay    -20816
ptp4l[620109.426]: master offset    2378415 s2 freq -1037942 path delay    -20816
ptp4l[620110.425]: master offset   -5521118 s2 freq -8223950 path delay   -136754
ptp4l[620111.422]: master offset    2346920 s2 freq -2012248 path delay   -136754
ptp4l[620112.424]: master offset    4726193 s2 freq +1071101 path delay   -136754
ptp4l[620113.427]: master offset     842096 s2 freq -1395138 path delay   -145349
ptp4l[620114.429]: master offset    1845305 s2 freq -139300 path delay   -145349
ptp4l[620115.425]: master offset     357504 s2 freq -1073510 path delay   -145349
ptp4l[620116.423]: master offset    1226650 s2 freq  -97112 path delay   -145349
ptp4l[620117.424]: master offset    1128214 s2 freq +172447 path delay   -145349
ptp4l[620118.423]: master offset   -9661308 s2 freq -10278611 path delay   -145349
ptp4l[620119.425]: master offset     281719 s2 freq -3233977 path delay   -145349
ptp4l[620120.422]: master offset  -11309848 s2 freq -14741028 path delay   -518803
ptp4l[620121.425]: master offset    3768005 s2 freq -3056129 path delay   -518803
ptp4l[620122.426]: master offset    3360175 s2 freq -2333558 path delay   -518803
ptp4l[620123.436]: master offset    5294408 s2 freq +608728 path delay   -518803
ptp4l[620124.431]: master offset     775075 s2 freq -2322283 path delay   -408462
ptp4l[620125.427]: master offset  -15052534 s2 freq -17917369 path delay   -517211
ptp4l[620126.421]: master offset    4910184 s2 freq -2470412 path delay   -517211
ptp4l[620127.424]: master offset    7288537 s2 freq +1380997 path delay   -517211
ptp4l[620128.431]: master offset    5722879 s2 freq +2001900 path delay   -517211
ptp4l[620129.432]: master offset   -6409976 s2 freq -8414092 path delay   -351373
ptp4l[620130.432]: master offset    2036742 s2 freq -1890366 path delay   -351373
ptp4l[620131.425]: master offset  -12838441 s2 freq -16154527 path delay    319392
ptp4l[620132.426]: master offset    3296381 s2 freq -3871237 path delay    319392
ptp4l[620133.427]: master offset   12964443 s2 freq +6785739 path delay    136208
ptp4l[620134.439]: master offset    5890704 s2 freq +3601333 path delay    136208
ptp4l[620135.434]: master offset   -2567242 s2 freq -3089402 path delay    136208
ptp4l[620136.429]: master offset     317926 s2 freq -974406 path delay    136208
ptp4l[620137.420]: master offset  -12077177 s2 freq -13274132 path delay    136208
ptp4l[620138.422]: master offset  -19224486 s2 freq -24044594 path delay   -557976
ptp4l[620139.420]: master offset    6257147 s2 freq -4330306 path delay  -1622352
ptp4l[620140.430]: master offset    6942435 s2 freq -1767874 path delay  -1622352
